Feature_002,Feature_003,Feature_004,Feature_005,Feature_006,Feature_007,Feature_008,Feature_009,Feature_010,Feature_011,Feature_012,Feature_013,Feature_014,Feature_015,Feature_016,Feature_017,Feature_018,Feature_019,Feature_020,Feature_023,Feature_024,Feature_025,Feature_026,Feature_028,Feature_029,Feature_030,Feature_031,Feature_001__time_bucket,Feature_021,Feature_022,Feature_027,Feature_001__hour,Missing_Count,Feature_022_is_outlier
Thursday,31-50,Male,High school,Employee,2-5yr,Automobile,Governmental,Below 1yr,No defect,Recreational areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,Going straight,__MISSING__,__MISSING__,__MISSING__,Driver,Normal,Not a Pedestrian,No distancing,morning,2.0,1.0,,9.0,4.0,0.0
Friday,31-50,Male,Junior high school,Owner,5-10yr,Automobile,Owner,2-5yrs,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Other,Dry,Darkness - lights lit,Normal,Collision with roadside objects,Going straight,Passenger,Male,18-30,Other,Normal,Not a Pedestrian,Driving carelessly,night,2.0,2.0,3.0,1.0,0.0,0.0
Thursday,Under 18,Male,Junior high school,Employee,2-5yr,Taxi,Owner,__MISSING__,No defect,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Rollover,__MISSING__,Driver or rider,Male,18-30,__MISSING__,__MISSING__,Not a Pedestrian,Driving carelessly,evening,3.0,3.0,3.0,22.0,4.0,0.0
Saturday,18-30,Male,Junior high school,Employee,Below 1yr,Automobile,Governmental,1-2yr,No defect,Other,Double carriageway (median),Tangent road with flat terrain,Crossing,Earth roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Pedestrian,Male,18-30,__MISSING__,__MISSING__,Crossing from offside - masked by parked or statioNot a Pedestrianry vehicle,Changing lane to the right,evening,1.0,2.0,2.0,21.0,2.0,0.0
Friday,18-30,Male,Writing & reading,Owner,5-10yr,Pick up upto 10Q,Owner,__MISSING__,__MISSING__,Church areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driver or rider,Male,31-50,Driver,Normal,Not a Pedestrian,Moving Backward,afternoon,1.0,1.0,3.0,16.0,2.0,0.0
Sunday,31-50,Male,Junior high school,Employee,1-2yr,Lorry (41?100Q),Owner,__MISSING__,No defect,Residential areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Driver or rider,Male,Under 18,Driver,Normal,Not a Pedestrian,Changing lane to the right,night,2.0,3.0,3.0,0.0,1.0,0.0
Friday,31-50,Male,Junior high school,__MISSING__,Below 1yr,Lorry (11?40Q),Owner,1-2yr,No defect,Office areas,Undivided Two way,Escarpments,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,Turnover,Driver or rider,Male,18-30,__MISSING__,__MISSING__,Not a Pedestrian,No priority to vehicle,evening,2.0,3.0,2.0,19.0,3.0,0.0
Sunday,31-50,Male,Junior high school,Employee,Above 10yr,Lorry (41?100Q),__MISSING__,__MISSING__,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Earth roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driver or rider,Male,31-50,Self-employed,Normal,Not a Pedestrian,Moving Backward,afternoon,2.0,1.0,3.0,15.0,2.0,0.0
Sunday,18-30,Male,Junior high school,Employee,Below 1yr,Automobile,Owner,Below 1yr,__MISSING__,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,__MISSING__,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,__MISSING__,__MISSING__,__MISSING__,Self-employed,Normal,Not a Pedestrian,No priority to pedestrian,evening,2.0,1.0,,20.0,6.0,0.0
Saturday,__MISSING__,Female,Junior high school,Employee,Above 10yr,Other,Owner,__MISSING__,__MISSING__,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Driver or rider,Male,18-30,Driver,Normal,Not a Pedestrian,Changing lane to the right,night,1.0,1.0,3.0,2.0,3.0,0.0
Saturday,18-30,Male,High school,Employee,1-2yr,Other,Owner,1-2yr,No defect,Outside rural areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,__MISSING__,Collision with roadside objects,Entering a junction,Passenger,Female,Under 18,Driver,Normal,Not a Pedestrian,Changing lane to the right,morning,2.0,1.0,3.0,11.0,1.0,0.0
Tuesday,Over 51,Male,Junior high school,Employee,1-2yr,Lorry (41?100Q),Owner,5-10yrs,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with mountainous terrain and,__MISSING__,Gravel roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driver or rider,Male,31-50,__MISSING__,__MISSING__,Not a Pedestrian,No distancing,morning,2.0,1.0,3.0,9.0,3.0,0.0
Thursday,__MISSING__,Male,Junior high school,Employee,Below 1yr,Lorry (41?100Q),Owner,Above 10yr,__MISSING__,School areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Driver or rider,Male,31-50,Driver,Normal,Not a Pedestrian,No distancing,evening,2.0,1.0,3.0,20.0,2.0,0.0
Sunday,Over 51,Male,Above high school,Employee,5-10yr,Automobile,Owner,2-5yrs,__MISSING__,Other,Undivided Two way,Tangent road with mountainous terrain and,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,Other,__MISSING__,__MISSING__,__MISSING__,Self-employed,Normal,Not a Pedestrian,Other,night,2.0,3.0,,0.0,5.0,0.0
Sunday,Over 51,Male,Junior high school,Employee,Below 1yr,Lorry (41?100Q),Owner,__MISSING__,No defect,Rural village areasOffice areas,other,Tangent road with flat terrain,__MISSING__,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,Going straight,__MISSING__,__MISSING__,__MISSING__,__MISSING__,__MISSING__,Not a Pedestrian,Changing lane to the right,evening,2.0,1.0,,22.0,8.0,0.0
Tuesday,31-50,Male,Junior high school,Employee,Below 1yr,Public (> 45 seats),Owner,2-5yrs,No defect,Residential areas,Two-way (divided with broken lines road marking),Gentle horizontal curve,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Getting off,Passenger,Female,Under 18,__MISSING__,__MISSING__,Not a Pedestrian,Overloading,evening,3.0,1.0,3.0,18.0,2.0,0.0
Tuesday,18-30,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,5-10yrs,__MISSING__,Church areas,One way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,__MISSING__,__MISSING__,__MISSING__,__MISSING__,__MISSING__,Not a Pedestrian,Changing lane to the left,afternoon,1.0,1.0,,12.0,7.0,0.0
Thursday,31-50,Male,Junior high school,Employee,Above 10yr,Pick up upto 10Q,Governmental,__MISSING__,No defect,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,Moving Backward,Driver or rider,Male,18-30,Driver,Normal,Not a Pedestrian,Driving carelessly,night,1.0,1.0,3.0,4.0,1.0,0.0
Wednesday,18-30,Male,Elementary school,Employee,__MISSING__,Automobile,Governmental,__MISSING__,__MISSING__,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Earth roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Passenger,Female,31-50,Driver,Normal,Not a Pedestrian,Moving Backward,morning,2.0,1.0,3.0,6.0,3.0,0.0
Friday,31-50,Male,Junior high school,Employee,1-2yr,Lorry (41?100Q),Owner,Above 10yr,No defect,School areas,other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with pedestrians,Other,__MISSING__,__MISSING__,__MISSING__,__MISSING__,__MISSING__,Not a Pedestrian,Overtaking,night,2.0,1.0,,0.0,6.0,0.0
Saturday,31-50,Male,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Owner,1-2yr,No defect,Office areas,Undivided Two way,Tangent road with mild grade and flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal,Collision with roadside objects,Going straight,Driver or rider,Male,31-50,Driver,Normal,Not a Pedestrian,No distancing,morning,3.0,6.0,3.0,9.0,0.0,1.0
Sunday,18-30,Male,High school,Owner,Above 10yr,Automobile,Owner,2-5yrs,No defect,Church areas,Undivided Two way,Tangent road with flat terrain,Other,Asphalt roads,Wet or damp,Darkness - lights lit,Windy,Vehicle with vehicle collision,Going straight,Driver or rider,Male,18-30,__MISSING__,__MISSING__,Not a Pedestrian,No distancing,night,2.0,1.0,3.0,5.0,2.0,0.0
Sunday,31-50,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,Above 10yr,No defect,Residential areas,__MISSING__,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,Going straight,Driver or rider,Male,18-30,Self-employed,Normal,Not a Pedestrian,Changing lane to the right,afternoon,2.0,2.0,3.0,17.0,1.0,0.0
Sunday,31-50,Male,__MISSING__,__MISSING__,__MISSING__,Other,Owner,__MISSING__,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driver or rider,Male,18-30,__MISSING__,__MISSING__,Not a Pedestrian,Driving carelessly,afternoon,2.0,1.0,3.0,17.0,6.0,0.0
Tuesday,18-30,Male,Elementary school,Employee,2-5yr,Automobile,Owner,2-5yrs,No defect,Other,Undivided Two way,Tangent road with mountainous terrain and,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driver or rider,Male,18-30,__MISSING__,Normal,Not a Pedestrian,Overtaking,afternoon,2.0,3.0,3.0,12.0,1.0,0.0
Tuesday,Over 51,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,__MISSING__,7,Office areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,Turnover,Driver or rider,Male,Over 51,Self-employed,Normal,Not a Pedestrian,No distancing,evening,2.0,1.0,3.0,21.0,1.0,0.0
Thursday,18-30,Male,High school,Employee,2-5yr,Other,Owner,__MISSING__,__MISSING__,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Entering a junction,__MISSING__,__MISSING__,__MISSING__,Self-employed,Normal,Not a Pedestrian,Other,afternoon,2.0,2.0,,17.0,6.0,0.0
Saturday,31-50,Male,High school,Employee,2-5yr,Automobile,Owner,__MISSING__,__MISSING__,Other,Two-way (divided with broken lines road marking),__MISSING__,Other,Asphalt roads,Dry,Darkness - lights lit,Other,Vehicle with vehicle collision,Reversing,Driver or rider,Male,31-50,Self-employed,Normal,Not a Pedestrian,Driving carelessly,night,2.0,1.0,3.0,2.0,3.0,0.0
Friday,__MISSING__,Male,Junior high school,Employee,2-5yr,__MISSING__,Owner,Above 10yr,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,Turnover,Driver or rider,Female,18-30,__MISSING__,Normal,Not a Pedestrian,Moving Backward,afternoon,3.0,1.0,3.0,12.0,3.0,0.0
Tuesday,Over 51,Male,__MISSING__,__MISSING__,__MISSING__,Lorry (11?40Q),Owner,5-10yrs,No defect,Church areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Other,Vehicle with vehicle collision,Going straight,__MISSING__,__MISSING__,__MISSING__,Other,Normal,Not a Pedestrian,Other,afternoon,2.0,1.0,,13.0,7.0,0.0
Friday,31-50,Male,Above high school,Other,2-5yr,Lorry (11?40Q),Owner,__MISSING__,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,__MISSING__,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driver or rider,Male,31-50,Employee,Normal,Not a Pedestrian,Changing lane to the right,evening,2.0,1.0,3.0,19.0,2.0,0.0
Tuesday,Under 18,Male,Junior high school,Employee,5-10yr,Automobile,Owner,__MISSING__,__MISSING__,Office areas,Undivided Two way,Tangent road with flat terrain,T Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,Turnover,__MISSING__,__MISSING__,__MISSING__,Self-employed,Normal,Not a Pedestrian,No priority to vehicle,evening,2.0,5.0,,18.0,6.0,1.0
Thursday,31-50,Male,Junior high school,Employee,2-5yr,Long lorry,Owner,5-10yrs,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,No junction,Gravel roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driver or rider,Male,Over 51,__MISSING__,Normal,Not a Pedestrian,Changing lane to the right,morning,2.0,1.0,2.0,9.0,1.0,0.0
Thursday,Over 51,Male,Junior high school,Employee,2-5yr,Long lorry,Owner,__MISSING__,No defect,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Collision with animals,Going straight,__MISSING__,__MISSING__,__MISSING__,__MISSING__,__MISSING__,Not a Pedestrian,No priority to pedestrian,evening,3.0,3.0,,22.0,7.0,0.0
Friday,Under 18,__MISSING__,Junior high school,Owner,5-10yr,Automobile,Owner,__MISSING__,No defect,Church areas,Two-way (divided with solid lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driver or rider,Male,18-30,Other,Normal,Not a Pedestrian,Changing lane to the right,afternoon,3.0,4.0,3.0,17.0,2.0,1.0
Thursday,18-30,Male,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Owner,__MISSING__,__MISSING__,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,__MISSING__,__MISSING__,__MISSING__,Self-employed,Normal,Not a Pedestrian,Driving carelessly,evening,1.0,1.0,,22.0,6.0,0.0
Friday,Over 51,__MISSING__,Junior high school,Employee,5-10yr,Lorry (41?100Q),__MISSING__,__MISSING__,__MISSING__,School areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,O Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Passenger,Female,Under 18,Self-employed,Normal,Not a Pedestrian,Changing lane to the left,morning,2.0,1.0,3.0,9.0,4.0,0.0
Monday,Under 18,Male,Junior high school,Employee,5-10yr,Automobile,Owner,1-2yr,No defect,Other,Double carriageway (median),Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,Going straight,Driver or rider,Male,31-50,Driver,Normal,Not a Pedestrian,Moving Backward,afternoon,2.0,2.0,2.0,15.0,0.0,0.0
Saturday,Over 51,Male,Elementary school,Employee,Above 10yr,Automobile,Owner,__MISSING__,No defect,Office areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Passenger,Male,Under 18,__MISSING__,__MISSING__,Not a Pedestrian,Changing lane to the right,morning,3.0,2.0,3.0,11.0,3.0,0.0
Wednesday,31-50,Male,Junior high school,Employee,Below 1yr,Stationwagen,Owner,__MISSING__,No defect,Other,Undivided Two way,Tangent road with flat terrain,No junction,Earth roads,Dry,Daylight,Normal,Collision with pedestrians,Moving Backward,Driver or rider,Male,18-30,Self-employed,Normal,Not a Pedestrian,No priority to vehicle,afternoon,1.0,1.0,3.0,16.0,1.0,0.0
Tuesday,__MISSING__,Female,Junior high school,Employee,5-10yr,Pick up upto 10Q,Owner,2-5yrs,No defect,Industrial areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Getting off,Pedestrian,Male,31-50,Driver,Normal,Not a Pedestrian,Driving to the left,afternoon,1.0,1.0,3.0,17.0,1.0,0.0
Friday,Over 51,Male,Junior high school,Owner,5-10yr,Other,Governmental,__MISSING__,No defect,Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Turnover,Driver or rider,Male,18-30,Driver,Normal,Not a Pedestrian,No priority to pedestrian,evening,2.0,1.0,3.0,19.0,1.0,0.0
Sunday,Over 51,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,2-5yrs,No defect,Other,Two-way (divided with broken lines road marking),Escarpments,No junction,Gravel roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Driver or rider,Male,Over 51,Driver,Normal,Not a Pedestrian,No distancing,evening,3.0,4.0,3.0,22.0,0.0,1.0
Friday,31-50,Male,Above high school,Other,2-5yr,Other,Owner,__MISSING__,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driver or rider,Male,31-50,Driver,Normal,Not a Pedestrian,Moving Backward,evening,2.0,4.0,3.0,18.0,1.0,1.0
Thursday,31-50,Male,Junior high school,Employee,1-2yr,__MISSING__,Owner,__MISSING__,__MISSING__,Industrial areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,Reversing,__MISSING__,__MISSING__,__MISSING__,Driver,Normal,Not a Pedestrian,No distancing,evening,2.0,2.0,,18.0,7.0,0.0
Monday,18-30,Male,High school,Employee,1-2yr,__MISSING__,Owner,__MISSING__,No defect,Other,One way,Tangent road with flat terrain,__MISSING__,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,__MISSING__,__MISSING__,__MISSING__,__MISSING__,__MISSING__,Not a Pedestrian,Changing lane to the right,afternoon,3.0,3.0,,16.0,9.0,0.0
Saturday,31-50,Male,Junior high school,Employee,5-10yr,Pick up upto 10Q,Owner,5-10yrs,__MISSING__,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,__MISSING__,Vehicle with vehicle collision,Going straight,Driver or rider,Male,18-30,Self-employed,Normal,Not a Pedestrian,Changing lane to the right,afternoon,2.0,2.0,3.0,12.0,2.0,0.0
Friday,Under 18,Male,__MISSING__,__MISSING__,__MISSING__,Other,Owner,1-2yr,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,__MISSING__,__MISSING__,__MISSING__,Driver,Normal,Not a Pedestrian,Moving Backward,evening,2.0,3.0,,20.0,7.0,0.0
Sunday,__MISSING__,Male,Junior high school,Employee,5-10yr,Lorry (11?40Q),Owner,__MISSING__,__MISSING__,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Other,Vehicle with vehicle collision,Going straight,__MISSING__,__MISSING__,__MISSING__,Driver,Normal,Not a Pedestrian,Driving carelessly,morning,2.0,1.0,,6.0,7.0,0.0
